Date,Location,Dead,Injured,Total,Description
"December 6, 2007","Botlih, Dagestan",1,2,3,Vladimir Buldakhin shot 1 soldier and wounded 2 others.
"April 23, 2007","Balashikha, Moscow Oblast",4,0,4,2007 Balashikha shooting: Alexander Levin shot 4 people.
"April 12–17, 2007","Sochi, Krasnodar Krai",6,1,7,Sochi bombings#Perpetrators: Ilya Galkin shot 6 people and wounded another.
"February 6, 2007",Astrakhan Oblast,3,1,4,Pyotr Babin shot 2 soldiers and wounded 1 more and then shot himself.
"March 15, 2005",Chita Oblast,7,1,8,4 soldiers killed 6 people.
"August 30, 2004",Dagestan,2,1,3,Vyacheslav Ustalov shot 2 soldiers and wounded 1.
"March 3, 2004","Tuskharoy, Chechnya",3,0,3,Evgeny Demyanov shot 3 people.
"February 20, 2003",Krasnoyarsk Krai,5,0,5,Sergey Khanov shot 4 soldiers and then shot himself.
"November 29, 2002",Karachay-Cherkessia,5,6,11,Denis Soloviev shot five soldiers and wounded 6 others.
"August 25, 2002","Yaroslavsky, Primorsky Krai",5,10,15,Yaroslavsky shooting: Sergey Semidovsky shot 5 people and injured 10 others.
"August 23, 2002",Ingushetia,8,0,8,Oleg Khismatulin and Nikolai Bozhkov shot 8 soldiers.
"April 11, 2002","Makhachkala, Dagestan",2,2,4,Turar Abugaliev shot and killed 2 soldiers and wounded 1 and then wounded himself.
"February 3–5, 2002",Tatarstan,11,2,13,Almaz Shageev and Mikhail Sukhorukov killed 9 people and injured 2 others. Shageev killed Sukhorukov and then killed himself.
"January 31, 2002","Uelen, Chukotka Autonomous Okrug",4,0,4,Andrei Rastegaev shot 4 soldiers.
"August 6, 2001","Abakan, Khakassia",4,0,4,Denis Pertsev shot 4 soldiers.
"Juli 8, 2001","Kamensk-Shakhtinsky, Rostov Oblast",6,1,7,Denis Smyshlyaev and Yevgeny Samoilov shot dead 6 soldiers and wounded 1.
"September 30, 2000","Solikamsk, Perm Krai",2,6,8,Alexey Skorobogatykh shot two soldiers and wounded 6 others.
"April 7, 2000","Zenzevatka, Volgograd Oblast",8,0,8,Oleg Dolzhenko shot 8 soldiers.
08/10/1999,"Mekenskaya, Chechnya",35,20,55,Ahmed Ibragimov shot 35 people and wounded more than 20 others in the Mikenskaya shootings.
10/09/1998,"Severomorsk, Murmansk Oblast",9,2,11,Russian submarine Vepr (K-157): Alexander Kuzminykh shot dead 8 soldiers and wounded 2 others then shot himself.
26/01/1998,"Pobedino, Sakhalin Oblast",7,1,8,Oleg Naumov shot 7 soldiers and wounded 1.
29/05/1997,"Gusinoozyorsk, Buryatia",6,0,6,Yevgeny Gorbunov shot 6 soldiers.
09/03/1997,"Kamyshin, Volgograd Oblast",6,2,8,Mass murder at the Kamyshin military school: Sergey Lepnev shot 6 colleagues and wounded 2.
04/01/1997,"Perm, Perm Krai",4,4,8,Oleg Lokhmatov shot 3 soldiers and 1 civilian and wounded 3 civilians.
10/10/1996,"Smirnykh, Sakhalin Oblast",4,0,4,Sergey Khrushch and Konstantin Krylov shot four soldiers.
26/02/1996,"Kuzovlevo, Tomsk Oblast",4,0,4,Yuri Dovgan and Alexander Kochetkov killed two soldiers and were killed by another soldier.
14/11/1995,Zabaykalsky Krai,2,3,5,Valery Sakharov killed 2 and wounded 3 other soldiers.
30/07/1995,"Popov Island, Primorsky Krai",5,6,11,Vyacheslav Bugakov shot five soldiers and wounded 6 others.
08/03/1994,"Tanfiliev Island, Sakhalin Oblast",6,3,9,Dmitry Belkov and Andrey Bogdashin shot dead 6 soldiers and wounded 3.
26/04/1992,"Kazan, Tatarstan",9,1,10,Andrey Shpagonov killed nine people and wounded one other while trying to steal firearms during a robbery. He was sentenced to death and executed in 1995.
26/03/1992,"Kyakhta, Buryatia",8,2,10,An unknown soldier killed 8 soldiers and wounded 2 others.
