Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank
"Coimbatore, Tamil Nadu, India",13,6,13,262,39
"Dindigul, Tamil Nadu, India",8,NA,27,934,117
"Kaithal, Haryana, India",3,3,17,292,141
"Nijmegen, Gelderland, Netherlands",20,62,42,159,132
"Cascais, Lisbon, Portugal",20,3,41,860,5
"Gurugram, Haryana, India",16,1,21,500,27
"Delhi, Delhi, India",9,64,28,912,146
Singapore,64,18,30,"5,754",139
"Kolkata, West Bengal, India",2,2,16,561,NA
"Paris, Île-de-France, France",48,44,43,423,35
"Paris, Île-de-France, France",24,6,40,554,143
"Ahmedabad, Gujarat, India",14,33,75,368,125
"Seoul, Seoul, South Korea",63,16,33,591,45
"Kawasaki, Kanagawa, Japan",13,NA,17,142,142
"Boston, Massachusetts, United States",8,11,22,202,7
"Noida, Uttar Pradesh, India",17,8,29,554,83
"Florida City, Florida, United States",7,15,20,306,72
"Tokyo, Tokyo, Japan",22,2,49,391,70
"Montreal, Quebec, Canada",7,7,18,175,153
NA,9,4,24,342,146
"Amreli, Gujarat, India",NA,5,16,966,NA
"Yazd, Yazd Province, Iran",NA,5,16,"1,234",89
NA,63,16,65,255,113
"Charlotte, North Carolina, United States",22,13,31,264,56
"Navi Mumbai, Maharashtra, India",3,8,17,243,151
"Helsinki, Finland",44,22,57,701,48
"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1,NA,11,523,165
"Florence, Tuscany, Italy",6,3,19,120,165
"Dhanbad, Jharkhand, India",23,8,44,62,97
"Tokyo, Tokyo, Japan",35,20,111,270,73
"Sohawa, Punjab, Pakistan",6,15,29,"2,111",169
"Kolkata, West Bengal, India",20,10,39,405,86
"Varkala, Kerala, India",7,31,20,948,121
"Polatsk, Vitebsk Region, Belarus",31,8,68,903,136
"Gurugram, Haryana, India",11,14,26,263,166
"London, England, United Kingdom",10,NA,20,55,159
"Lahore, Punjab, Pakistan",16,17,72,556,150
"Dubai, Dubai, United Arab Emirates",15,NA,14,"4,244",NA
"Mumbai, Maharashtra, India",1,2,25,259,10
"Beirut, Beirut Governorate, Lebanon",5,4,41,"1,168",40
"Colombo, Western Province, Sri Lanka",2,NA,13,"1,103",135
"Amman, Amman Governorate, Jordan",NA,29,31,947,167
NA,48,10,20,41,174
"Tokyo, Tokyo, Japan",47,153,49,116,117
"Dhaka, Dhaka Division, Bangladesh",2,3,10,658,184
"New Delhi, Delhi, India",10,NA,65,217,64
