Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Sy-Tuan Nguyen,216,expert,https://www.kaggle.com/sytuannguyen,2,7,17,378,3 years ago
Dmitry Uarov,217,master,https://www.kaggle.com/dmitryuarov,2,19,4,375,2 years ago
Trigram,218,master,https://www.kaggle.com/nxrprime,6,9,30,373,3 years ago
marketneutral,219,master,https://www.kaggle.com/marketneutral,8,6,3,371,5 years ago
Manoj Gharge,220,master,https://www.kaggle.com/manojgharge07,0,10,6,371,4 months ago
Vivek Chowdhury,221,master,https://www.kaggle.com/vivek468,3,15,3,370,4 years ago
Tanishq Gautam,222,master,https://www.kaggle.com/ligtfeather,10,7,7,368,3 years ago
Faisal Qureshi,223,master,https://www.kaggle.com/mfaisalqureshi,8,7,0,368,3 years ago
pixyz0130,224,expert,https://www.kaggle.com/pixyz0130,0,5,10,367,a year ago
Robert Kwiatkowski,225,expert,https://www.kaggle.com/datark1,4,4,7,366,5 years ago
Shubham Bisht,226,master,https://www.kaggle.com/mrbisht,2,8,0,365,a year ago
C. Beaud,227,expert,https://www.kaggle.com/cbeaud,2,6,12,364,6 months ago
Ilia Larchenko,228,master,https://www.kaggle.com/ilialar,8,4,2,363,6 years ago
Tanmay Deshpande,229,master,https://www.kaggle.com/tanmay111999,2,8,1,361,4 years ago
Josh,230,master,https://www.kaggle.com/joshuaswords,5,5,10,360,3 years ago
Morris Lee,231,master,https://www.kaggle.com/leekahwin,0,13,5,360,2 years ago
Kaggle Kerneler,232,expert,https://www.kaggle.com/kerneler,0,1,5,359,4 years ago
swimmy,233,master,https://www.kaggle.com/swimmy,3,7,7,358,6 years ago
Muhammad Bux Alvi,234,expert,https://www.kaggle.com/mbalvi75,0,9,11,358,5 years ago
Nanashi,235,grandmaster,https://www.kaggle.com/jesucristo,17,5,1,356,4 years ago
Daniil Karpov,236,expert,https://www.kaggle.com/vanguarde,1,4,2,352,3 years ago
whxna-0615,237,expert,https://www.kaggle.com/jiaowoguanren,0,0,18,350,7 months ago
CPMP,238,grandmaster,https://www.kaggle.com/cpmpml,15,8,15,348,10 years ago
James Trotman,239,master,https://www.kaggle.com/jtrotman,1,16,37,345,7 years ago
Kamogawa_Horumo,240,master,https://www.kaggle.com/xia464,6,6,1,345,3 years ago
T88,241,master,https://www.kaggle.com/t88take,4,12,4,337,3 years ago
Kartik Khandelwal,242,master,https://www.kaggle.com/kartik2khandelwal,5,5,14,336,2 years ago
Baris Dincer,243,expert,https://www.kaggle.com/brsdincer,0,1,54,334,2 years ago
Saurav Anand,244,master,https://www.kaggle.com/saurav9786,6,8,18,333,3 years ago
Jun Hyeok,245,master,https://www.kaggle.com/junhyeok99,3,7,19,333,a year ago
AashiDutt,246,expert,https://www.kaggle.com/aashidutt3,0,3,30,332,5 years ago
Murilão,247,master,https://www.kaggle.com/upadorprofzs,9,1,0,332,3 years ago
yuanzhe zhou,248,expert,https://www.kaggle.com/yuanzhezhou,5,1,2,332,3 years ago
ARShaik,249,master,https://www.kaggle.com/abdulravoofshaik,3,7,9,332,9 months ago
Anıl Öztürk,250,expert,https://www.kaggle.com/nlztrk,1,8,9,331,4 years ago
Aneri Dalwadi,251,master,https://www.kaggle.com/aneridalwadi,3,7,0,328,a year ago
K Scott Mader,252,master,https://www.kaggle.com/kmader,12,19,74,326,10 years ago
Sreevishnu Damodaran,253,master,https://www.kaggle.com/sreevishnudamodaran,6,6,3,326,2 years ago
Burak Dilber,254,expert,https://www.kaggle.com/burakdilber,1,8,1,325,4 years ago
Geir Drange,255,master,https://www.kaggle.com/mistag,3,7,22,323,4 years ago
Siti Khotijah,256,master,https://www.kaggle.com/khotijahs1,3,15,35,318,4 years ago
Ashwin Shetgaonkar,257,master,https://www.kaggle.com/ashwinshetgaonkar,0,11,10,318,a year ago
tarık kaan koç,258,expert,https://www.kaggle.com/tarkkaanko,1,8,6,318,6 months ago
Shruti Pandit,259,expert,https://www.kaggle.com/shrutipandit707,0,7,18,317,8 months ago
Luiz Bueno,260,master,https://www.kaggle.com/juniorbueno,0,14,12,316,a year ago
Maunish dave,261,master,https://www.kaggle.com/maunish,6,5,9,313,4 years ago
moth,262,expert,https://www.kaggle.com/alejopaullier,2,6,5,309,3 years ago
Carrie CH,263,master,https://www.kaggle.com/carriech,1,11,14,309,3 years ago
Shreya Sajal,264,master,https://www.kaggle.com/shreyasajal,6,8,1,309,2 years ago
Hiroshi Oshio,265,master,https://www.kaggle.com/hiroshioshio,7,4,0,309,a year ago
Heng Zheng,266,master,https://www.kaggle.com/hengzheng,3,11,17,308,5 years ago
Nadia Nizam,267,expert,https://www.kaggle.com/nadianizam,7,0,0,308,2 years ago
Dieter,268,grandmaster,https://www.kaggle.com/christofhenkel,18,6,6,307,5 years ago
Rida Mahmood,269,master,https://www.kaggle.com/ridamahmood005,1,9,1,307,a year ago
Mrinal Tyagi,270,expert,https://www.kaggle.com/tr1gg3rtrash,1,7,2,306,3 years ago
Qishen Ha,271,master,https://www.kaggle.com/haqishen,10,7,1,305,7 years ago
Jonathan Bown,272,expert,https://www.kaggle.com/jonbown,0,6,15,304,5 years ago
Salman Ibne Eunus,273,master,https://www.kaggle.com/salmaneunus,1,17,38,304,3 years ago
Woo Seung Han,274,master,https://www.kaggle.com/hadeux,5,5,0,303,3 years ago
Firat Gonen,275,grandmaster,https://www.kaggle.com/frtgnn,16,4,3,299,4 years ago
Mammad Abbasli,276,master,https://www.kaggle.com/mammadabbasli,2,10,1,299,3 years ago
khyeh,277,expert,https://www.kaggle.com/khyeh0719,4,5,4,297,5 years ago
Puru Behl,278,master,https://www.kaggle.com/accountstatus,2,14,41,297,3 years ago
Songul Erdem Guler,279,master,https://www.kaggle.com/songulerdem,4,6,0,297,3 years ago
Levent Serinol,280,master,https://www.kaggle.com/landfallmotto,2,8,3,297,2 years ago
Aziz Özmen,281,master,https://www.kaggle.com/azizozmen,1,14,0,295,a year ago
Ayessa,282,master,https://www.kaggle.com/ayessa,1,9,6,293,a year ago
Jiashen Liu,283,expert,https://www.kaggle.com/jiashenliu,1,2,13,292,6 years ago
Takamichi Toda,284,master,https://www.kaggle.com/takamichitoda,2,9,17,292,5 years ago
Yash Patel,285,master,https://www.kaggle.com/ysthehurricane,0,16,8,292,2 years ago
Rajdeep Ghosh,286,master,https://www.kaggle.com/rumbleftw,0,10,8,292,8 months ago
Bill Cruise,287,expert,https://www.kaggle.com/bcruise,0,1,40,291,8 years ago
Sreshta Putchala,288,master,https://www.kaggle.com/sreshta140,8,5,4,291,3 years ago
Masato Murakawa,289,master,https://www.kaggle.com/masatomurakawamm,0,10,10,290,2 years ago
Yotoro,290,master,https://www.kaggle.com/shivansh002,5,6,8,290,a year ago
Ibtesam Ahmed,291,master,https://www.kaggle.com/ibtesama,4,6,4,289,5 years ago
Alexander Chervov,292,expert,https://www.kaggle.com/alexandervc,0,2,20,289,4 years ago
Ashfak Yeafi,293,master,https://www.kaggle.com/ashfakyeafi,0,10,12,289,2 years ago
Yasir Hussein Shakir,294,master,https://www.kaggle.com/yasserhessein,1,10,22,288,3 years ago
Ali Sultanov,295,expert,https://www.kaggle.com/alisultanov,4,1,0,288,7 months ago
sin,296,expert,https://www.kaggle.com/underwearfitting,6,2,5,287,2 years ago
Henrique Mendonça,297,master,https://www.kaggle.com/hmendonca,13,9,8,285,7 years ago
Mahmoud hassan Mahmoud,298,master,https://www.kaggle.com/mahmoudhassanmahmoud,0,10,7,285,2 years ago
Touba Derakhshande,299,master,https://www.kaggle.com/touba7,1,10,2,284,4 years ago
Chaudhary Mubashir Hussain,300,expert,https://www.kaggle.com/ourfuture,0,6,5,284,3 years ago
Ehsan Dahesh,301,master,https://www.kaggle.com/ehsandahesh,0,12,4,284,a year ago
